StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q20,Q5,Q6,Q7,Q8,Q9,Q16,Q10,Q11,Q18,Q12,Q13,Q19,Q14,Q15,Q20
Fecha de inicio,Fecha de finalización,Tipo de respuesta,Dirección IP,Progreso,Duración (en segundos),Finalizado,Fecha registrada,ID de respuesta,Apellido del destinatario,Nombre del destinatario,Correo electrónico del destinatario,Referencia a datos externos,Latitud de la ubicación,Longitud de la ubicación,Canal de la distribución,Idioma del usuario,¿Cuántos años tenés? (Indicá un número de dos dígitos),¿Con qué género te identificas?,¿En qué nivel educativo te encontrás actualmente?,"¿Cuál es tu nivel de acuerdo con las siguientes afirmaciones? - ""La sociedad ha llegado a un punto en el que mujeres y hombres tienen las mismas oportunidades para progresar.""","¿Cuál es tu nivel de acuerdo con las siguientes afirmaciones? - “En los últimos años, el gobierno y los medios de comunicación han mostrado más preocupación por el trato hacia las mujeres de la que se justifica según las experiencias reales de las propias mujeres.”",¿Cuál es tu nivel de acuerdo con las siguientes afirmaciones? - “Nuestro país ya no necesita campañas institucionales para combatir los efectos de la discriminación contra las mujeres.”,"¿Cuál es tu nivel de acuerdo con las siguientes afirmaciones? - ""El aborto está justificado en cualquier circunstancia.""","¿Cuál es tu nivel de acuerdo con las siguientes afirmaciones? - ""Las personas homosexuales deberían tener los mismos derechos que las personas heterosexuales.""",¿Con qué frecuencia asistís a eventos religiosos?,¿Con cuál de estos partidos políticos te identificás?,¿A quién votaste en las últimas elecciones presidenciales?,"En el último tiempo, el debate acerca de cómo las nuevas generaciones tienen cada vez menos hijos cobró mucha importancia. 

En Argentina, el promedio actual de hijos por mujer es 1,4, cuando se estima que el óptimo debería ser 2,1 (tasa de reemplazo). A raíz de esto, surgieron diferentes posiciones políticas sobre el tema.

¿Habías escuchado hablar sobre esto?","Los libertarios creen que la familia es la base de la sociedad. Por ese motivo, ven con preocupación cómo en los últimos años se redujo la cantidad de nacimientos.

¿Estabas al tanto de esta postura?","Para las familias, la decisión de tener hijos implica dedicarles tiempo y hacer un gran esfuerzo económico ¿Qué tan importante considerás que las personas tengan hijos teniendo en cuenta que significa resignar proyectos personales o profesionales?","Cuando tengas aproximadamente 30 años, ¿te gustaría tener hijos?","Muchas personas creen que la familia es la base de la sociedad. Por ese motivo, ven con preocupación cómo en los últimos años se redujo la cantidad de nacimientos.

¿Estabas al tanto de esta postura?","Para las familias, la decisión de tener hijos implica dedicarles tiempo y hacer un gran esfuerzo económico ¿Qué tan importante considerás que las personas tengan hijos teniendo en cuenta que significa resignar proyectos personales o profesionales?","Cuando tengas aproximadamente 30 años, ¿te gustaría tener hijos?","Los peronistas creen que la planificación familiar es una decisión personal. Por ese motivo, ven con naturalidad cómo en los últimos años se redujo la cantidad de nacimientos.

¿Estabas al tanto de esta postura?","Para las familias, la decisión de tener hijos implica dedicarles tiempo y hacer un gran esfuerzo económico ¿Qué tan importante considerás que las personas tengan hijos teniendo en cuenta que significa resignar proyectos personales o profesionales?","Para cuando tengas aproximadamente 30 años, ¿te gustaría tener hijos?","Muchas personas creen que la planificación familiar es una decisión personal. Por ese motivo, ven con naturalidad cómo en los últimos años se redujo la cantidad de nacimientos.

¿Estabas al tanto de esta postura?","Para las familias, la decisión de tener hijos implica dedicarles tiempo y hacer un gran esfuerzo económico ¿Qué tan importante considerás que las personas tengan hijos teniendo en cuenta que significa resignar proyectos personales o profesionales?","Para cuando tengas aproximadamente 30 años, ¿te gustaría tener hijos?"
"{""ImportId"":""startDate"",""timeZone"":""America/Buenos_Aires""}","{""ImportId"":""endDate"",""timeZone"":""America/Buenos_Aires""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Buenos_Aires""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_6""}","{""ImportId"":""QID25_7""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID25_3""}","{""ImportId"":""QID21""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID16""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID18""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID19""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID20""}"
2026-05-19 16:26:35,2026-05-19 16:31:01,Dirección IP,181.46.71.61,100,265,Verdadero,2026-05-19 16:31:01,R_6y1QsAGQNFgfX1v,,,,,-34.4231,-58.583,anonymous,ES-ES,26,Mujer/Femenino,Universitario,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,"Raramente (en fechas especiales, algunas veces al año)",No me identifico con ninguno,Juan Schiaretti,Si,,,,,,,No,Poco importante,Si,,,
2026-05-19 16:30:22,2026-05-19 16:32:05,Dirección IP,190.18.62.104,100,103,Verdadero,2026-05-19 16:32:05,R_5Xu1aLJTqcFt6KJ,,,,,-36,-59.9964,anonymous,ES-ES,22,Mujer/Femenino,Universitario,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Nunca,PRO,Anulé el voto,Si,,,,,,,,,,Si,Poco importante,No
2026-05-19 16:32:03,2026-05-19 16:36:07,Dirección IP,104.28.59.15,100,243,Verdadero,2026-05-19 16:36:07,R_1i2HQzFpHxJSsoh,,,,,-34.6142,-58.3811,anonymous,ES-ES,22,Hombre/Masculino,Universitario,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente de acuerdo,Nunca,PRO,No fui a votar,Si,,,,,,,No,Algo importante,Si,,,
2026-05-19 16:39:50,2026-05-19 16:44:35,Dirección IP,201.235.28.89,100,284,Verdadero,2026-05-19 16:44:36,R_3Xn774hmFpQFEhr,,,,,-34.3558,-58.544,anonymous,ES-ES,22,Hombre/Masculino,Universitario,Totalmente de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Ocasionalmente (al menos una vez al mes),"Unión por la Patria - Peronismo (incluye kirchnerismo, Peronismo Federal, Frente Renovador)",Sergio Massa,Si,,,,,,,Si,Muy importante,Si,,,
2026-05-19 16:51:18,2026-05-19 16:54:40,Dirección IP,190.221.159.194,100,201,Verdadero,2026-05-19 16:54:41,R_6oC7TuKshqrKalj,,,,,-34.6022,-58.3845,anonymous,ES-ES,21,Mujer/Femenino,Universitario,Totalmente en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Nunca,PRO,Sergio Massa,Si,,,,,,,,,,Si,Muy importante,No
2026-05-19 16:51:13,2026-05-19 16:54:59,Dirección IP,190.221.159.194,100,226,Verdadero,2026-05-19 16:55:00,R_7y2ckbAOIDOttPm,,,,,-34.6022,-58.3845,anonymous,ES-ES,21,Mujer/Femenino,Universitario,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,"Raramente (en fechas especiales, algunas veces al año)","Unión por la Patria - Peronismo (incluye kirchnerismo, Peronismo Federal, Frente Renovador)",Sergio Massa,Si,,,,Si,Algo importante,No,,,,,,
2026-05-19 16:56:19,2026-05-19 16:58:37,Dirección IP,186.109.93.226,100,137,Verdadero,2026-05-19 16:58:37,R_6eM3vVxLOSKLiTi,,,,,-26.7964,-60.8316,anonymous,ES-ES,22,Mujer/Femenino,Universitario,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente de acuerdo,"Raramente (en fechas especiales, algunas veces al año)",No me identifico con ninguno,En blanco,Si,,,,,,,No,Muy importante,Si,,,
2026-05-19 16:59:56,2026-05-19 17:01:38,Dirección IP,62.195.88.94,100,101,Verdadero,2026-05-19 17:01:38,R_8wXypzCkRpH59nP,,,,,52.364,4.8913,anonymous,ES-ES,22,Hombre/Masculino,Universitario,De acuerdo,De acuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,Ocasionalmente (al menos una vez al mes),La Libertad Avanza,Javier Milei,Si,Si,Muy importante,Si,,,,,,,,,
